filename,width,height,class,xmin,ymin,xmax,ymax
IMG_1109_JPG.rf.c085cca696ee85d4a648d110f49d96e7.jpg,640,640,Early_Blight,265,399,286,408
IMG_1109_JPG.rf.c085cca696ee85d4a648d110f49d96e7.jpg,640,640,Target_Spot,347,408,361,420
IMG_1109_JPG.rf.c085cca696ee85d4a648d110f49d96e7.jpg,640,640,black spot,375,375,380,379
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,454,403,491,435
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,260,399,480,575
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,284,162,346,205
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,244,118,302,143
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,163,181,178,189
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Early_Blight,353,201,389,227
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,241,340,277,364
IMG_0341_JPG.rf.c3919908e292ba159085e6e0cc3ec966.jpg,640,640,Late_blight,203,406,226,422
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,261,104,344,133
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,368,156,425,188
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,266,169,292,196
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,308,336,358,369
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,259,452,333,511
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,202,469,229,486
IMG_0592_JPG.rf.bca4d76cd80a4207ea5b918f0c8e3b5a.jpg,640,640,Early_Blight,118,344,167,453
IMG_0313_JPG.rf.bfd41bb80ebecead20f4e165716f5446.jpg,640,640,Late_blight,366,193,376,205
IMG_0478_JPG.rf.bcbf0a755876fc9f2cd6472230cc67c1.jpg,640,640,Early_Blight,387,181,440,210
IMG_0478_JPG.rf.bcbf0a755876fc9f2cd6472230cc67c1.jpg,640,640,Early_Blight,363,112,384,127
IMG_0351_JPG.rf.ba476ebf0092a65e85abaa298014c3f4.jpg,640,640,Early_Blight,300,90,311,98
IMG_0351_JPG.rf.ba476ebf0092a65e85abaa298014c3f4.jpg,640,640,Early_Blight,267,58,278,63
IMG_0351_JPG.rf.ba476ebf0092a65e85abaa298014c3f4.jpg,640,640,black spot,270,124,278,131
IMG_1037_JPG.rf.bc77c20abb006cb9292371031b284e8b.jpg,640,640,Healthy,135,58,455,553
IMG_1078_JPG.rf.bfa967e17971cf262b845c8bc26f7d8f.jpg,640,640,black spot,328,107,341,117
IMG_1078_JPG.rf.bfa967e17971cf262b845c8bc26f7d8f.jpg,640,640,black spot,278,61,290,68
IMG_1078_JPG.rf.bfa967e17971cf262b845c8bc26f7d8f.jpg,640,640,Early_Blight,217,215,225,221
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,135,375,223,423
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,253,529,301,561
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,369,494,458,543
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Bacterial Spot,219,289,254,313
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,black spot,117,240,160,272
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,black spot,257,280,301,304
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Bacterial Spot,217,473,258,501
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,345,288,407,318
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,126,445,193,516
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,Leaf Mold,267,164,356,193
IMG_0229_JPG.rf.bee8811358b57b3035794ec99cc662df.jpg,640,640,black spot,303,197,345,211
IMG_1147_JPG.rf.c199bbb783b426a67fe52de3d427972f.jpg,640,640,Healthy,130,77,588,619
IMG_1147_JPG.rf.c2e74002ca6ab6d7c776346dd9fcccc9.jpg,640,640,Healthy,130,77,588,619

IMG_0307_JPG.rf.c4c4d7997afc133471599e3875c7e214.jpg,640,640,Late_blight,271,176,286,188
IMG_0307_JPG.rf.c4c4d7997afc133471599e3875c7e214.jpg,640,640,Late_blight,292,351,308,360
IMG_0307_JPG.rf.c4c4d7997afc133471599e3875c7e214.jpg,640,640,Late_blight,292,389,311,400
IMG_0307_JPG.rf.c4c4d7997afc133471599e3875c7e214.jpg,640,640,black spot,381,386,386,389
IMG_0307_JPG.rf.c4c4d7997afc133471599e3875c7e214.jpg,640,640,Early_Blight,475,342,481,346
IMG_1018_JPG.rf.be0bfe172d23f1b1d9b16b8e61b88752.jpg,640,640,Healthy,58,36,540,595
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,black spot,258,338,274,347
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,Leaf Mold,332,279,349,290
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,Leaf Mold,363,359,378,368
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,Early_Blight,274,410,286,420
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,black spot,399,468,416,480
IMG_0256_JPG.rf.bf879516f904c80bf84aaeafb075ceeb.jpg,640,640,black spot,426,475,437,494
IMG_1011_JPG.rf.bed8b6cc8f9ed2e77fcbb4e5c65ed231.jpg,640,640,Healthy,24,34,574,606
IMG_1042_JPG.rf.bd79f88ccfbc5a9208f80ce69e7d06af.jpg,640,640,Healthy,120,60,441,555
IMG_0351_JPG.rf.bf287b7965e1d9825ba83b14e17e5aa2.jpg,640,640,Early_Blight,300,90,311,98
IMG_0351_JPG.rf.bf287b7965e1d9825ba83b14e17e5aa2.jpg,640,640,Early_Blight,267,58,278,63
IMG_0351_JPG.rf.bf287b7965e1d9825ba83b14e17e5aa2.jpg,640,640,black spot,270,124,278,131
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,Early_Blight,362,445,375,455
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,Late_blight,381,323,414,348
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,Late_blight,475,311,497,328
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,black spot,342,251,357,262
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,Early_Blight,468,179,488,189
IMG_0356_JPG.rf.bd07e489eee09aa099321aa93d1b59ca.jpg,640,640,black spot,395,144,402,150
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,295,323,316,358
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,378,284,402,305
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,382,223,397,250
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,black spot,287,213,300,229
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,176,312,189,329
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,195,323,208,346
IMG_0269_JPG.rf.bd23e08559cc39205b2b697058da42de.jpg,640,640,Early_Blight,380,481,394,500
IMG_0477_JPG.rf.bbed338597a75d9dfea546f2948b349e.jpg,640,640,Early_Blight,387,184,440,213
IMG_0477_JPG.rf.bbed338597a75d9dfea546f2948b349e.jpg,640,640,Early_Blight,363,112,384,127



IMG_0290_JPG.rf.c40787576286c4faa9158edcb9f7b3f8.jpg,640,640,black spot,349,201,366,212
IMG_0290_JPG.rf.c40787576286c4faa9158edcb9f7b3f8.jpg,640,640,Early_Blight,383,211,397,218
IMG_0290_JPG.rf.c40787576286c4faa9158edcb9f7b3f8.jpg,640,640,Early_Blight,126,217,139,224
IMG_0290_JPG.rf.c40787576286c4faa9158edcb9f7b3f8.jpg,640,640,Early_Blight,347,436,380,455
